agency_cd site_no datetime tz_cd 151782_00062 151782_00062_cd
5s 15s 20d 6s 14n 10s
USGS 12452000 2019-10-10 00:00 PDT 1096.51 A
USGS 12452000 2019-10-10 00:15 PDT 1096.52 A
USGS 12452000 2019-10-10 00:30 PDT 1096.54 A
USGS 12452000 2019-10-10 00:45 PDT 1096.52 A
USGS 12452000 2019-10-10 01:00 PDT 1096.52 A
USGS 12452000 2019-10-10 01:15 PDT 1096.53 A
USGS 12452000 2019-10-10 01:30 PDT 1096.51 A
USGS 12452000 2019-10-10 01:45 PDT 1096.51 A
USGS 12452000 2019-10-10 02:00 PDT 1096.52 A
USGS 12452000 2019-10-10 02:15 PDT 1096.50 A
USGS 12452000 2019-10-10 02:30 PDT 1096.54 A
USGS 12452000 2019-10-10 02:45 PDT 1096.52 A
USGS 12452000 2019-10-10 03:00 PDT 1096.50 A
USGS 12452000 2019-10-10 03:15 PDT 1096.51 A
USGS 12452000 2019-10-10 03:30 PDT 1096.50 A
USGS 12452000 2019-10-10 03:45 PDT 1096.51 A
USGS 12452000 2019-10-10 04:00 PDT 1096.51 A
USGS 12452000 2019-10-10 04:15 PDT 1096.49 A
USGS 12452000 2019-10-10 04:30 PDT 1096.49 A
USGS 12452000 2019-10-10 04:45 PDT 1096.51 A
USGS 12452000 2019-10-10 05:00 PDT 1096.51 A
USGS 12452000 2019-10-10 05:15 PDT 1096.50 A
USGS 12452000 2019-10-10 05:30 PDT 1096.51 A
USGS 12452000 2019-10-10 05:45 PDT 1096.46 A
USGS 12452000 2019-10-10 06:00 PDT 1096.51 A
USGS 12452000 2019-10-10 06:15 PDT 1096.48 A
USGS 12452000 2019-10-10 06:30 PDT 1096.49 A
USGS 12452000 2019-10-10 06:45 PDT 1096.50 A
USGS 12452000 2019-10-10 07:00 PDT 1096.47 A
USGS 12452000 2019-10-10 07:15 PDT 1096.50 A
USGS 12452000 2019-10-10 07:30 PDT 1096.49 A
USGS 12452000 2019-10-10 07:45 PDT 1096.49 A
USGS 12452000 2019-10-10 08:00 PDT 1096.47 A
USGS 12452000 2019-10-10 08:15 PDT 1096.49 A
USGS 12452000 2019-10-10 08:30 PDT 1096.46 A
USGS 12452000 2019-10-10 08:45 PDT 1096.48 A
USGS 12452000 2019-10-10 09:00 PDT 1096.49 A
USGS 12452000 2019-10-10 09:15 PDT 1096.46 A
USGS 12452000 2019-10-10 09:30 PDT 1096.49 A
USGS 12452000 2019-10-10 09:45 PDT 1096.45 A
USGS 12452000 2019-10-10 10:00 PDT 1096.47 A
USGS 12452000 2019-10-10 10:15 PDT 1096.47 A
USGS 12452000 2019-10-10 10:30 PDT 1096.46 A
USGS 12452000 2019-10-10 10:45 PDT 1096.47 A
USGS 12452000 2019-10-10 11:00 PDT 1096.46 A
USGS 12452000 2019-10-10 11:15 PDT 1096.46 A
USGS 12452000 2019-10-10 11:30 PDT 1096.45 A
USGS 12452000 2019-10-10 11:45 PDT 1096.48 A
USGS 12452000 2019-10-10 12:00 PDT 1096.44 A
USGS 12452000 2019-10-10 12:15 PDT 1096.47 A
USGS 12452000 2019-10-10 12:30 PDT 1096.44 A
USGS 12452000 2019-10-10 12:45 PDT 1096.44 A
USGS 12452000 2019-10-10 13:00 PDT 1096.47 A
USGS 12452000 2019-10-10 13:15 PDT 1096.44 A
USGS 12452000 2019-10-10 13:30 PDT 1096.46 A
USGS 12452000 2019-10-10 13:45 PDT 1096.44 A
USGS 12452000 2019-10-10 14:00 PDT 1096.44 A
USGS 12452000 2019-10-10 14:15 PDT 1096.44 A
USGS 12452000 2019-10-10 14:30 PDT 1096.45 A
USGS 12452000 2019-10-10 14:45 PDT 1096.43 A
USGS 12452000 2019-10-10 15:00 PDT 1096.44 A
USGS 12452000 2019-10-10 15:15 PDT 1096.43 A
USGS 12452000 2019-10-10 15:30 PDT 1096.42 A
USGS 12452000 2019-10-10 15:45 PDT 1096.46 A
USGS 12452000 2019-10-10 16:00 PDT 1096.43 A
USGS 12452000 2019-10-10 16:15 PDT 1096.43 A
USGS 12452000 2019-10-10 16:30 PDT 1096.42 A
USGS 12452000 2019-10-10 16:45 PDT 1096.42 A
USGS 12452000 2019-10-10 17:00 PDT 1096.44 A
USGS 12452000 2019-10-10 17:15 PDT 1096.44 A
USGS 12452000 2019-10-10 17:30 PDT 1096.42 A
USGS 12452000 2019-10-10 17:45 PDT 1096.41 A
USGS 12452000 2019-10-10 18:00 PDT 1096.43 A
USGS 12452000 2019-10-10 18:15 PDT 1096.41 A
USGS 12452000 2019-10-10 18:30 PDT 1096.45 A
USGS 12452000 2019-10-10 18:45 PDT 1096.42 A
USGS 12452000 2019-10-10 19:00 PDT 1096.41 A
USGS 12452000 2019-10-10 19:15 PDT 1096.43 A
USGS 12452000 2019-10-10 19:30 PDT 1096.41 A
USGS 12452000 2019-10-10 19:45 PDT 1096.44 A
USGS 12452000 2019-10-10 20:00 PDT 1096.43 A
USGS 12452000 2019-10-10 20:15 PDT 1096.41 A
USGS 12452000 2019-10-10 20:30 PDT 1096.41 A
USGS 12452000 2019-10-10 20:45 PDT 1096.42 A
USGS 12452000 2019-10-10 21:00 PDT 1096.42 A
USGS 12452000 2019-10-10 21:15 PDT 1096.43 A
USGS 12452000 2019-10-10 21:30 PDT 1096.43 A
USGS 12452000 2019-10-10 21:45 PDT 1096.41 A
USGS 12452000 2019-10-10 22:00 PDT 1096.43 A
USGS 12452000 2019-10-10 22:15 PDT 1096.42 A
USGS 12452000 2019-10-10 22:30 PDT 1096.43 A
USGS 12452000 2019-10-10 22:45 PDT 1096.42 A
USGS 12452000 2019-10-10 23:00 PDT 1096.41 A
USGS 12452000 2019-10-10 23:15 PDT 1096.42 A
USGS 12452000 2019-10-10 23:30 PDT 1096.42 A
USGS 12452000 2019-10-10 23:45 PDT 1096.42 A
USGS 12452000 2019-10-11 00:00 PDT 1096.41 A
USGS 12452000 2019-10-11 00:15 PDT 1096.42 A
USGS 12452000 2019-10-11 00:30 PDT 1096.39 A
USGS 12452000 2019-10-11 00:45 PDT 1096.42 A
USGS 12452000 2019-10-11 01:00 PDT 1096.41 A
USGS 12452000 2019-10-11 01:15 PDT 1096.40 A
USGS 12452000 2019-10-11 01:30 PDT 1096.41 A
USGS 12452000 2019-10-11 01:45 PDT 1096.38 A
USGS 12452000 2019-10-11 02:00 PDT 1096.41 A
USGS 12452000 2019-10-11 02:15 PDT 1096.40 A
USGS 12452000 2019-10-11 02:30 PDT 1096.39 A
USGS 12452000 2019-10-11 02:45 PDT 1096.38 A
USGS 12452000 2019-10-11 03:00 PDT 1096.39 A
USGS 12452000 2019-10-11 03:15 PDT 1096.39 A
USGS 12452000 2019-10-11 03:30 PDT 1096.39 A
USGS 12452000 2019-10-11 03:45 PDT 1096.40 A
USGS 12452000 2019-10-11 04:00 PDT 1096.37 A
USGS 12452000 2019-10-11 04:15 PDT 1096.40 A
USGS 12452000 2019-10-11 04:30 PDT 1096.39 A
USGS 12452000 2019-10-11 04:45 PDT 1096.40 A
USGS 12452000 2019-10-11 05:00 PDT 1096.39 A
USGS 12452000 2019-10-11 05:15 PDT 1096.38 A
USGS 12452000 2019-10-11 05:30 PDT 1096.39 A
USGS 12452000 2019-10-11 05:45 PDT 1096.39 A
USGS 12452000 2019-10-11 06:00 PDT 1096.38 A
USGS 12452000 2019-10-11 06:15 PDT 1096.35 A
USGS 12452000 2019-10-11 06:30 PDT 1096.38 A
USGS 12452000 2019-10-11 06:45 PDT 1096.37 A
USGS 12452000 2019-10-11 07:00 PDT 1096.40 A
USGS 12452000 2019-10-11 07:15 PDT 1096.39 A
USGS 12452000 2019-10-11 07:30 PDT 1096.36 A
USGS 12452000 2019-10-11 07:45 PDT 1096.38 A
USGS 12452000 2019-10-11 08:00 PDT 1096.37 A
USGS 12452000 2019-10-11 08:15 PDT 1096.39 A
USGS 12452000 2019-10-11 08:30 PDT 1096.37 A
USGS 12452000 2019-10-11 08:45 PDT 1096.35 A
USGS 12452000 2019-10-11 09:00 PDT 1096.35 A
USGS 12452000 2019-10-11 09:15 PDT 1096.36 A
USGS 12452000 2019-10-11 09:30 PDT 1096.38 A
USGS 12452000 2019-10-11 09:45 PDT 1096.37 A
USGS 12452000 2019-10-11 10:00 PDT 1096.37 A
USGS 12452000 2019-10-11 10:15 PDT 1096.35 A
USGS 12452000 2019-10-11 10:30 PDT 1096.37 A
USGS 12452000 2019-10-11 10:45 PDT 1096.37 A
USGS 12452000 2019-10-11 11:00 PDT 1096.37 A
USGS 12452000 2019-10-11 11:15 PDT 1096.37 A
USGS 12452000 2019-10-11 11:30 PDT 1096.35 A
USGS 12452000 2019-10-11 11:45 PDT 1096.36 A
USGS 12452000 2019-10-11 12:00 PDT 1096.36 A
USGS 12452000 2019-10-11 12:15 PDT 1096.37 A
USGS 12452000 2019-10-11 12:30 PDT 1096.35 A
USGS 12452000 2019-10-11 12:45 PDT 1096.35 A
USGS 12452000 2019-10-11 13:00 PDT 1096.34 A
USGS 12452000 2019-10-11 13:15 PDT 1096.35 A
USGS 12452000 2019-10-11 13:30 PDT 1096.36 A
USGS 12452000 2019-10-11 13:45 PDT 1096.35 A
USGS 12452000 2019-10-11 14:00 PDT 1096.35 A
USGS 12452000 2019-10-11 14:15 PDT 1096.33 A
USGS 12452000 2019-10-11 14:30 PDT 1096.34 A
USGS 12452000 2019-10-11 14:45 PDT 1096.35 A
USGS 12452000 2019-10-11 15:00 PDT 1096.34 A
USGS 12452000 2019-10-11 15:15 PDT 1096.34 A
USGS 12452000 2019-10-11 15:30 PDT 1096.33 A
USGS 12452000 2019-10-11 15:45 PDT 1096.34 A
USGS 12452000 2019-10-11 16:00 PDT 1096.33 A
USGS 12452000 2019-10-11 16:15 PDT 1096.35 A
USGS 12452000 2019-10-11 16:30 PDT 1096.33 A
USGS 12452000 2019-10-11 16:45 PDT 1096.34 A
USGS 12452000 2019-10-11 17:00 PDT 1096.33 A
USGS 12452000 2019-10-11 17:15 PDT 1096.33 A
USGS 12452000 2019-10-11 17:30 PDT 1096.35 A
USGS 12452000 2019-10-11 17:45 PDT 1096.34 A
USGS 12452000 2019-10-11 18:00 PDT 1096.35 A
USGS 12452000 2019-10-11 18:15 PDT 1096.33 A
USGS 12452000 2019-10-11 18:30 PDT 1096.33 A
USGS 12452000 2019-10-11 18:45 PDT 1096.34 A
USGS 12452000 2019-10-11 19:00 PDT 1096.35 A
USGS 12452000 2019-10-11 19:15 PDT 1096.34 A
USGS 12452000 2019-10-11 19:30 PDT 1096.33 A
USGS 12452000 2019-10-11 19:45 PDT 1096.33 A
USGS 12452000 2019-10-11 20:00 PDT 1096.33 A
USGS 12452000 2019-10-11 20:15 PDT 1096.36 A
USGS 12452000 2019-10-11 20:30 PDT 1096.35 A
USGS 12452000 2019-10-11 20:45 PDT 1096.33 A
USGS 12452000 2019-10-11 21:00 PDT 1096.33 A
USGS 12452000 2019-10-11 21:15 PDT 1096.33 A
USGS 12452000 2019-10-11 21:30 PDT 1096.35 A
USGS 12452000 2019-10-11 21:45 PDT 1096.35 A
USGS 12452000 2019-10-11 22:00 PDT 1096.33 A
USGS 12452000 2019-10-11 22:15 PDT 1096.32 A
USGS 12452000 2019-10-11 22:30 PDT 1096.33 A
USGS 12452000 2019-10-11 22:45 PDT 1096.33 A
USGS 12452000 2019-10-11 23:00 PDT 1096.35 A
USGS 12452000 2019-10-11 23:15 PDT 1096.34 A
USGS 12452000 2019-10-11 23:30 PDT 1096.31 A
USGS 12452000 2019-10-11 23:45 PDT 1096.31 A
USGS 12452000 2019-10-12 00:00 PDT 1096.32 A
USGS 12452000 2019-10-12 00:15 PDT 1096.34 A
USGS 12452000 2019-10-12 00:30 PDT 1096.33 A
USGS 12452000 2019-10-12 00:45 PDT 1096.31 A
USGS 12452000 2019-10-12 01:00 PDT 1096.30 A
USGS 12452000 2019-10-12 01:15 PDT 1096.31 A
USGS 12452000 2019-10-12 01:30 PDT 1096.32 A
USGS 12452000 2019-10-12 01:45 PDT 1096.32 A
USGS 12452000 2019-10-12 02:00 PDT 1096.31 A
USGS 12452000 2019-10-12 02:15 PDT 1096.29 A
USGS 12452000 2019-10-12 02:30 PDT 1096.31 A
USGS 12452000 2019-10-12 02:45 PDT 1096.30 A
USGS 12452000 2019-10-12 03:00 PDT 1096.31 A
USGS 12452000 2019-10-12 03:15 PDT 1096.30 A
USGS 12452000 2019-10-12 03:30 PDT 1096.28 A
USGS 12452000 2019-10-12 03:45 PDT 1096.30 A
USGS 12452000 2019-10-12 04:00 PDT 1096.30 A
USGS 12452000 2019-10-12 04:15 PDT 1096.30 A
USGS 12452000 2019-10-12 04:30 PDT 1096.29 A
USGS 12452000 2019-10-12 04:45 PDT 1096.29 A
USGS 12452000 2019-10-12 05:00 PDT 1096.29 A
USGS 12452000 2019-10-12 05:15 PDT 1096.29 A
USGS 12452000 2019-10-12 05:30 PDT 1096.29 A
USGS 12452000 2019-10-12 05:45 PDT 1096.27 A
USGS 12452000 2019-10-12 06:00 PDT 1096.28 A
USGS 12452000 2019-10-12 06:15 PDT 1096.27 A
USGS 12452000 2019-10-12 06:30 PDT 1096.29 A
USGS 12452000 2019-10-12 06:45 PDT 1096.29 A
USGS 12452000 2019-10-12 07:00 PDT 1096.28 A
USGS 12452000 2019-10-12 07:15 PDT 1096.27 A
USGS 12452000 2019-10-12 07:30 PDT 1096.26 A
USGS 12452000 2019-10-12 07:45 PDT 1096.29 A
USGS 12452000 2019-10-12 08:00 PDT 1096.29 A
USGS 12452000 2019-10-12 08:15 PDT 1096.29 A
USGS 12452000 2019-10-12 08:30 PDT 1096.26 A
USGS 12452000 2019-10-12 08:45 PDT 1096.27 A
USGS 12452000 2019-10-12 09:00 PDT 1096.28 A
USGS 12452000 2019-10-12 09:15 PDT 1096.29 A
USGS 12452000 2019-10-12 09:30 PDT 1096.29 A
USGS 12452000 2019-10-12 09:45 PDT 1096.26 A
USGS 12452000 2019-10-12 10:00 PDT 1096.27 A
USGS 12452000 2019-10-12 10:15 PDT 1096.26 A
USGS 12452000 2019-10-12 10:30 PDT 1096.28 A
USGS 12452000 2019-10-12 10:45 PDT 1096.26 A
USGS 12452000 2019-10-12 11:00 PDT 1096.28 A
USGS 12452000 2019-10-12 11:15 PDT 1096.26 A
USGS 12452000 2019-10-12 11:30 PDT 1096.26 A
USGS 12452000 2019-10-12 11:45 PDT 1096.27 A
USGS 12452000 2019-10-12 12:00 PDT 1096.26 A
USGS 12452000 2019-10-12 12:15 PDT 1096.27 A
USGS 12452000 2019-10-12 12:30 PDT 1096.24 A
USGS 12452000 2019-10-12 12:45 PDT 1096.26 A
USGS 12452000 2019-10-12 13:00 PDT 1096.26 A
USGS 12452000 2019-10-12 13:15 PDT 1096.25 A
USGS 12452000 2019-10-12 13:30 PDT 1096.23 A
USGS 12452000 2019-10-12 13:45 PDT 1096.23 A
USGS 12452000 2019-10-12 14:00 PDT 1096.26 A
USGS 12452000 2019-10-12 14:15 PDT 1096.25 A
USGS 12452000 2019-10-12 14:30 PDT 1096.26 A
USGS 12452000 2019-10-12 14:45 PDT 1096.21 A
USGS 12452000 2019-10-12 15:00 PDT 1096.23 A
USGS 12452000 2019-10-12 15:15 PDT 1096.24 A
USGS 12452000 2019-10-12 15:30 PDT 1096.24 A
USGS 12452000 2019-10-12 15:45 PDT 1096.25 A
USGS 12452000 2019-10-12 16:00 PDT 1096.23 A
USGS 12452000 2019-10-12 16:15 PDT 1096.24 A
USGS 12452000 2019-10-12 16:30 PDT 1096.22 A
USGS 12452000 2019-10-12 16:45 PDT 1096.25 A
USGS 12452000 2019-10-12 17:00 PDT 1096.24 A
USGS 12452000 2019-10-12 17:15 PDT 1096.22 A
USGS 12452000 2019-10-12 17:30 PDT 1096.22 A
USGS 12452000 2019-10-12 17:45 PDT 1096.22 A
USGS 12452000 2019-10-12 18:00 PDT 1096.25 A
USGS 12452000 2019-10-12 18:15 PDT 1096.24 A
USGS 12452000 2019-10-12 18:30 PDT 1096.24 A
USGS 12452000 2019-10-12 18:45 PDT 1096.21 A
USGS 12452000 2019-10-12 19:00 PDT 1096.22 A
USGS 12452000 2019-10-12 19:15 PDT 1096.24 A
USGS 12452000 2019-10-12 19:30 PDT 1096.24 A
USGS 12452000 2019-10-12 19:45 PDT 1096.25 A
USGS 12452000 2019-10-12 20:00 PDT 1096.20 A
USGS 12452000 2019-10-12 20:15 PDT 1096.22 A
USGS 12452000 2019-10-12 20:30 PDT 1096.22 A
USGS 12452000 2019-10-12 20:45 PDT 1096.24 A
USGS 12452000 2019-10-12 21:00 PDT 1096.24 A
USGS 12452000 2019-10-12 21:15 PDT 1096.22 A
USGS 12452000 2019-10-12 21:30 PDT 1096.21 A
USGS 12452000 2019-10-12 21:45 PDT 1096.21 A
USGS 12452000 2019-10-12 22:00 PDT 1096.24 A
USGS 12452000 2019-10-12 22:15 PDT 1096.21 A
USGS 12452000 2019-10-12 22:30 PDT 1096.23 A
USGS 12452000 2019-10-12 22:45 PDT 1096.20 A
USGS 12452000 2019-10-12 23:00 PDT 1096.21 A
USGS 12452000 2019-10-12 23:15 PDT 1096.22 A
USGS 12452000 2019-10-12 23:30 PDT 1096.21 A
USGS 12452000 2019-10-12 23:45 PDT 1096.20 A
USGS 12452000 2019-10-13 00:00 PDT 1096.18 A
USGS 12452000 2019-10-13 00:15 PDT 1096.20 A
USGS 12452000 2019-10-13 00:30 PDT 1096.21 A
USGS 12452000 2019-10-13 00:45 PDT 1096.22 A
USGS 12452000 2019-10-13 01:00 PDT 1096.19 A
USGS 12452000 2019-10-13 01:15 PDT 1096.18 A
USGS 12452000 2019-10-13 01:30 PDT 1096.18 A
USGS 12452000 2019-10-13 01:45 PDT 1096.20 A
USGS 12452000 2019-10-13 02:00 PDT 1096.21 A
USGS 12452000 2019-10-13 02:15 PDT 1096.18 A
USGS 12452000 2019-10-13 02:30 PDT 1096.17 A
USGS 12452000 2019-10-13 02:45 PDT 1096.16 A
USGS 12452000 2019-10-13 03:00 PDT 1096.19 A
USGS 12452000 2019-10-13 03:15 PDT 1096.19 A
USGS 12452000 2019-10-13 03:30 PDT 1096.19 A
USGS 12452000 2019-10-13 03:45 PDT 1096.16 A
USGS 12452000 2019-10-13 04:00 PDT 1096.15 A
USGS 12452000 2019-10-13 04:15 PDT 1096.17 A
USGS 12452000 2019-10-13 04:30 PDT 1096.19 A
USGS 12452000 2019-10-13 04:45 PDT 1096.19 A
USGS 12452000 2019-10-13 05:00 PDT 1096.16 A
USGS 12452000 2019-10-13 05:15 PDT 1096.16 A
USGS 12452000 2019-10-13 05:30 PDT 1096.14 A
USGS 12452000 2019-10-13 05:45 PDT 1096.18 A
USGS 12452000 2019-10-13 06:00 PDT 1096.19 A
USGS 12452000 2019-10-13 06:15 PDT 1096.17 A
USGS 12452000 2019-10-13 06:30 PDT 1096.16 A
USGS 12452000 2019-10-13 06:45 PDT 1096.16 A
USGS 12452000 2019-10-13 07:00 PDT 1096.19 A
USGS 12452000 2019-10-13 07:15 PDT 1096.18 A
USGS 12452000 2019-10-13 07:30 PDT 1096.17 A
USGS 12452000 2019-10-13 07:45 PDT 1096.13 A
USGS 12452000 2019-10-13 08:00 PDT 1096.15 A
USGS 12452000 2019-10-13 08:15 PDT 1096.16 A
USGS 12452000 2019-10-13 08:30 PDT 1096.18 A
USGS 12452000 2019-10-13 08:45 PDT 1096.17 A
USGS 12452000 2019-10-13 09:00 PDT 1096.14 A
USGS 12452000 2019-10-13 09:15 PDT 1096.15 A
USGS 12452000 2019-10-13 09:30 PDT 1096.15 A
USGS 12452000 2019-10-13 09:45 PDT 1096.18 A
USGS 12452000 2019-10-13 10:00 PDT 1096.17 A
USGS 12452000 2019-10-13 10:15 PDT 1096.14 A
USGS 12452000 2019-10-13 10:30 PDT 1096.13 A
USGS 12452000 2019-10-13 10:45 PDT 1096.16 A
USGS 12452000 2019-10-13 11:00 PDT 1096.17 A
USGS 12452000 2019-10-13 11:15 PDT 1096.16 A
USGS 12452000 2019-10-13 11:30 PDT 1096.14 A
USGS 12452000 2019-10-13 11:45 PDT 1096.12 A
USGS 12452000 2019-10-13 12:00 PDT 1096.14 A
USGS 12452000 2019-10-13 12:15 PDT 1096.15 A
USGS 12452000 2019-10-13 12:30 PDT 1096.15 A
USGS 12452000 2019-10-13 12:45 PDT 1096.15 A
USGS 12452000 2019-10-13 13:00 PDT 1096.13 A
USGS 12452000 2019-10-13 13:15 PDT 1096.13 A
USGS 12452000 2019-10-13 13:30 PDT 1096.14 A
USGS 12452000 2019-10-13 13:45 PDT 1096.15 A
USGS 12452000 2019-10-13 14:00 PDT 1096.15 A
USGS 12452000 2019-10-13 14:15 PDT 1096.14 A
USGS 12452000 2019-10-13 14:30 PDT 1096.13 A
USGS 12452000 2019-10-13 14:45 PDT 1096.14 A
USGS 12452000 2019-10-13 15:00 PDT 1096.15 A
USGS 12452000 2019-10-13 15:15 PDT 1096.14 A
USGS 12452000 2019-10-13 15:30 PDT 1096.13 A
USGS 12452000 2019-10-13 15:45 PDT 1096.13 A
USGS 12452000 2019-10-13 16:00 PDT 1096.12 A
USGS 12452000 2019-10-13 16:15 PDT 1096.15 A
USGS 12452000 2019-10-13 16:30 PDT 1096.12 A
USGS 12452000 2019-10-13 16:45 PDT 1096.12 A
USGS 12452000 2019-10-13 17:00 PDT 1096.12 A
USGS 12452000 2019-10-13 17:15 PDT 1096.13 A
USGS 12452000 2019-10-13 17:30 PDT 1096.13 A
USGS 12452000 2019-10-13 17:45 PDT 1096.14 A
USGS 12452000 2019-10-13 18:00 PDT 1096.12 A
USGS 12452000 2019-10-13 18:15 PDT 1096.11 A
USGS 12452000 2019-10-13 18:30 PDT 1096.13 A
USGS 12452000 2019-10-13 18:45 PDT 1096.12 A
USGS 12452000 2019-10-13 19:00 PDT 1096.14 A
USGS 12452000 2019-10-13 19:15 PDT 1096.11 A
USGS 12452000 2019-10-13 19:30 PDT 1096.10 A
USGS 12452000 2019-10-13 19:45 PDT 1096.11 A
USGS 12452000 2019-10-13 20:00 PDT 1096.12 A
USGS 12452000 2019-10-13 20:15 PDT 1096.14 A
USGS 12452000 2019-10-13 20:30 PDT 1096.11 A
USGS 12452000 2019-10-13 20:45 PDT 1096.11 A
USGS 12452000 2019-10-13 21:00 PDT 1096.10 A
USGS 12452000 2019-10-13 21:15 PDT 1096.12 A
USGS 12452000 2019-10-13 21:30 PDT 1096.11 A
USGS 12452000 2019-10-13 21:45 PDT 1096.11 A
USGS 12452000 2019-10-13 22:00 PDT 1096.12 A
USGS 12452000 2019-10-13 22:15 PDT 1096.10 A
USGS 12452000 2019-10-13 22:30 PDT 1096.13 A
USGS 12452000 2019-10-13 22:45 PDT 1096.11 A
USGS 12452000 2019-10-13 23:00 PDT 1096.11 A
USGS 12452000 2019-10-13 23:15 PDT 1096.09 A
USGS 12452000 2019-10-13 23:30 PDT 1096.10 A
USGS 12452000 2019-10-13 23:45 PDT 1096.12 A
USGS 12452000 2019-10-14 00:00 PDT 1096.12 A
USGS 12452000 2019-10-14 00:15 PDT 1096.11 A
USGS 12452000 2019-10-14 00:30 PDT 1096.07 A
USGS 12452000 2019-10-14 00:45 PDT 1096.09 A
USGS 12452000 2019-10-14 01:00 PDT 1096.10 A
USGS 12452000 2019-10-14 01:15 PDT 1096.11 A
USGS 12452000 2019-10-14 01:30 PDT 1096.09 A
USGS 12452000 2019-10-14 01:45 PDT 1096.07 A
USGS 12452000 2019-10-14 02:00 PDT 1096.07 A
USGS 12452000 2019-10-14 02:15 PDT 1096.07 A
USGS 12452000 2019-10-14 02:30 PDT 1096.09 A
USGS 12452000 2019-10-14 02:45 PDT 1096.09 A
USGS 12452000 2019-10-14 03:00 PDT 1096.08 A
USGS 12452000 2019-10-14 03:15 PDT 1096.06 A
USGS 12452000 2019-10-14 03:30 PDT 1096.05 A
USGS 12452000 2019-10-14 03:45 PDT 1096.07 A
USGS 12452000 2019-10-14 04:00 PDT 1096.07 A
USGS 12452000 2019-10-14 04:15 PDT 1096.07 A
USGS 12452000 2019-10-14 04:30 PDT 1096.05 A
USGS 12452000 2019-10-14 04:45 PDT 1096.06 A
USGS 12452000 2019-10-14 05:00 PDT 1096.07 A
USGS 12452000 2019-10-14 05:15 PDT 1096.07 A
USGS 12452000 2019-10-14 05:30 PDT 1096.06 A
USGS 12452000 2019-10-14 05:45 PDT 1096.06 A
USGS 12452000 2019-10-14 06:00 PDT 1096.05 A
USGS 12452000 2019-10-14 06:15 PDT 1096.06 A
USGS 12452000 2019-10-14 06:30 PDT 1096.07 A
USGS 12452000 2019-10-14 06:45 PDT 1096.05 A
USGS 12452000 2019-10-14 07:00 PDT 1096.06 A
USGS 12452000 2019-10-14 07:15 PDT 1096.04 A
USGS 12452000 2019-10-14 07:30 PDT 1096.05 A
USGS 12452000 2019-10-14 07:45 PDT 1096.06 A
USGS 12452000 2019-10-14 08:00 PDT 1096.05 A
USGS 12452000 2019-10-14 08:15 PDT 1096.05 A
USGS 12452000 2019-10-14 08:30 PDT 1096.04 A
USGS 12452000 2019-10-14 08:45 PDT 1096.04 A
USGS 12452000 2019-10-14 09:00 PDT 1096.05 A
USGS 12452000 2019-10-14 09:15 PDT 1096.06 A
USGS 12452000 2019-10-14 09:30 PDT 1096.04 A
USGS 12452000 2019-10-14 09:45 PDT 1096.05 A
USGS 12452000 2019-10-14 10:00 PDT 1096.04 A
USGS 12452000 2019-10-14 10:15 PDT 1096.05 A
USGS 12452000 2019-10-14 10:30 PDT 1096.06 A
USGS 12452000 2019-10-14 10:45 PDT 1096.04 A
USGS 12452000 2019-10-14 11:00 PDT 1096.03 A
USGS 12452000 2019-10-14 11:15 PDT 1096.03 A
USGS 12452000 2019-10-14 11:30 PDT 1096.04 A
USGS 12452000 2019-10-14 11:45 PDT 1096.03 A
USGS 12452000 2019-10-14 12:00 PDT 1096.04 A
USGS 12452000 2019-10-14 12:15 PDT 1096.02 A
USGS 12452000 2019-10-14 12:30 PDT 1096.03 A
USGS 12452000 2019-10-14 12:45 PDT 1096.04 A
USGS 12452000 2019-10-14 13:00 PDT 1096.02 A
USGS 12452000 2019-10-14 13:15 PDT 1096.03 A
USGS 12452000 2019-10-14 13:30 PDT 1096.02 A
USGS 12452000 2019-10-14 13:45 PDT 1096.02 A
USGS 12452000 2019-10-14 14:00 PDT 1096.02 A
USGS 12452000 2019-10-14 14:15 PDT 1096.02 A
USGS 12452000 2019-10-14 14:30 PDT 1096.00 A
USGS 12452000 2019-10-14 14:45 PDT 1096.02 A
USGS 12452000 2019-10-14 15:00 PDT 1096.01 A
USGS 12452000 2019-10-14 15:15 PDT 1096.01 A
USGS 12452000 2019-10-14 15:30 PDT 1096.02 A
USGS 12452000 2019-10-14 15:45 PDT 1096.00 A
USGS 12452000 2019-10-14 16:00 PDT 1096.00 A
USGS 12452000 2019-10-14 16:15 PDT 1096.00 A
USGS 12452000 2019-10-14 16:30 PDT 1096.00 A
USGS 12452000 2019-10-14 16:45 PDT 1096.00 A
USGS 12452000 2019-10-14 17:00 PDT 1096.01 A
USGS 12452000 2019-10-14 17:15 PDT 1095.99 A
USGS 12452000 2019-10-14 17:30 PDT 1096.00 A
USGS 12452000 2019-10-14 17:45 PDT 1096.01 A
USGS 12452000 2019-10-14 18:00 PDT 1096.00 A
USGS 12452000 2019-10-14 18:15 PDT 1095.99 A
USGS 12452000 2019-10-14 18:30 PDT 1095.98 A
USGS 12452000 2019-10-14 18:45 PDT 1096.00 A
USGS 12452000 2019-10-14 19:00 PDT 1096.02 A
USGS 12452000 2019-10-14 19:15 PDT 1096.01 A
USGS 12452000 2019-10-14 19:30 PDT 1095.98 A
USGS 12452000 2019-10-14 19:45 PDT 1095.97 A
USGS 12452000 2019-10-14 20:00 PDT 1095.99 A
